,id,date,code,name,open,high,low,close,volume,money,change_pct
167,1634806,2018-01-02,801081,半导体,2297.62,2334.44,2247.56,2315.14,563913569.0,11018436449.36,0.91
168,1634808,2018-01-02,850841,其他电子器件,5867.4,5930.95,5789.16,5894.3,181755669.0,3427751905.41,0.5
169,1634809,2018-01-02,801082,其他电子器件,5853.29,5916.69,5775.23,5880.12,181755669.0,3427751905.41,0.5
170,1634810,2018-01-02,857411,航天装备,8739.85,8821.59,8688.41,8785.52,53490000.0,1054960000.0,0.59
171,1634811,2018-01-02,851114,小家电,9160.24,9389.33,9101.21,9286.06,64572352.0,1427134819.13,1.68
172,1634812,2018-01-02,851115,其他白色家电,1221.89,1258.48,1202.34,1238.08,100101617.0,1347994611.55,2.28
173,1634813,2018-01-02,851112,空调,32667.53,33310.38,32618.09,33059.68,102904966.0,4567669488.26,2.43
174,1634814,2018-01-02,851113,洗衣机,10600.03,10672.23,10492.05,10602.7,4611581.0,152218338.45,-0.69
175,1634815,2018-01-02,851111,冰箱,3151.35,3191.84,3126.24,3165.24,61295017.0,1005723470.36,0.93
176,1634816,2018-01-02,850741,电机,7135.66,7197.21,7055.19,7161.1,64606582.0,804814658.98,-0.07
177,1634817,2018-01-02,851931,证券,5974.61,6079.23,5956.02,6050.38,908189424.0,11411725684.46,1.49
178,1634819,2018-01-02,857251,园林工程,13617.9,13766.45,13482.37,13701.69,149380000.0,2150910000.0,0.53
179,1634820,2018-01-02,801123,饮料制造,14128.48,14287.78,13890.03,14168.47,214198921.0,10546395670.23,0.59
180,1634822,2018-01-02,851741,航空运输,3220.45,3239.13,3108.95,3162.1,452515244.0,4614082656.82,-1.95
181,1634823,2018-01-02,851621,水务,3885.09,3963.04,3864.69,3921.21,121501377.0,1328386279.04,0.72
182,1634825,2018-01-02,851434,珠宝首饰,2111.79,2150.27,2099.41,2139.48,85780000.0,840070000.0,1.15
183,1634826,2018-01-02,801032,化学纤维,3334.95,3509.72,3316.15,3484.15,256127020.0,3824268663.28,4.63
184,1634827,2018-01-02,801033,化学原料,2692.64,2771.02,2667.18,2744.82,489777165.0,4243354575.22,2.45
185,1634828,2018-01-02,801034,化学制品,4517.05,4660.85,4471.65,4619.63,1553156825.0,22244074876.76,2.42
186,1634829,2018-01-02,801035,石油化工,2705.64,2823.47,2695.78,2793.83,669522508.0,4775259118.75,3.63
187,1634830,2018-01-02,851433,家用轻工,2571.22,2609.17,2546.02,2583.44,41996022.0,417602911.36,0.66
188,1634831,2018-01-02,851432,家具,3059.21,3130.93,3031.05,3103.69,133435307.0,2953054307.92,1.48
189,1634832,2018-01-02,850616,管材,7753.45,8060.13,7655.5,8000.44,63410000.0,800040000.0,2.15
190,1634833,2018-01-02,850614,其他建材,7147.95,7439.95,7096.03,7367.31,222958386.0,4426939878.66,2.93
191,1634834,2018-01-02,850615,耐火材料,5132.85,5269.48,5112.12,5234.4,30600000.0,308450000.0,2.05
192,1634835,2018-01-02,850612,水泥制造,6171.06,6527.13,6102.27,6490.53,511405630.0,7988556631.73,6.17
193,1634836,2018-01-02,852021,贸易,5138.12,5202.03,5098.13,5177.24,133679327.0,1342499328.81,0.67
194,1634837,2018-01-02,850611,玻璃制造,6058.16,6330.1,6009.49,6255.62,233719156.0,1738005717.93,3.15
195,1634838,2018-01-02,852225,软件开发,4787.03,4854.75,4723.24,4817.67,286290000.0,6424670000.0,1.31
196,1634839,2018-01-02,851021,计算机设备,3019.13,3067.21,2978.07,3030.8,337708251.0,5347689949.0,1.08
197,1634840,2018-01-02,851821,园区开发,2515.48,2553.06,2504.01,2535.52,40121681.0,487991425.0,0.9
198,1634841,2018-01-02,850921,汽车零部件,5774.46,5869.75,5678.07,5798.26,568113719.0,8566361637.07,0.33
199,1634842,2018-01-02,857323,计量仪表,6943.02,6991.46,6749.91,6834.54,66800000.0,695950000.0,-0.4
200,1634843,2018-01-02,852141,餐饮,1198.65,1205.48,1179.9,1189.56,10775006.0,62336994.8,-1.03
201,1634844,2018-01-02,857322,工控自动化,5589.57,5703.6,5554.57,5651.06,57870000.0,789030000.0,1.26
202,1634845,2018-01-02,851521,中药,7861.58,7961.51,7797.83,7913.88,326082771.0,5228507029.09,0.59
203,1634846,2018-01-02,850823,被动元件,4266.04,4295.92,4177.96,4232.15,136600000.0,2127380000.0,-0.34
204,1634847,2018-01-02,801752,互联网传媒,1220.8,1238.27,1209.71,1227.43,276160780.0,4333011659.23,0.55
205,1634848,2018-01-02,850121,海洋捕捞,2043.66,2067.24,2037.58,2056.18,1809012.0,20846222.44,0.61
206,1634849,2018-01-02,850122,水产养殖,1084.22,1105.05,1077.56,1096.53,30714954.0,211073939.0,1.2
207,1634850,2018-01-02,850335,涂料油漆制造,5492.94,5568.99,5387.84,5491.75,37264149.0,649873358.74,1.02
208,1634851,2018-01-02,850334,日用化学产品,4061.58,4099.98,4023.76,4064.21,36104510.0,501872737.97,-0.42
209,1634852,2018-01-02,850337,民爆用品,2068.78,2120.45,2055.5,2096.51,85418730.0,1190937021.37,1.39
210,1634853,2018-01-02,850336,钾肥,6094.96,6177.67,6020.95,6125.43,56363397.0,790974266.75,1.15
211,1634854,2018-01-02,850331,氮肥,4510.71,4855.29,4493.61,4789.68,283026185.0,2761078302.66,6.44
212,1634855,2018-01-02,850333,农药,3197.8,3323.61,3176.13,3302.49,168373877.0,2479958030.65,3.5
213,1634856,2018-01-02,850332,磷肥,915.44,979.56,910.62,959.92,27930227.0,189981926.0,5.07
214,1634857,2018-01-02,857431,地面兵装,13387.49,13636.84,13270.73,13533.56,64570000.0,1144120000.0,0.99
215,1634858,2018-01-02,852244,其他文化传媒,616.21,627.28,611.29,620.08,19540000.0,266970000.0,-0.28
216,1634859,2018-01-02,850339,其他化学制品,1437.1,1469.77,1423.42,1458.9,354861850.0,5763700584.0,1.61
217,1634860,2018-01-02,850338,纺织化学用品,3015.24,3090.0,2984.7,3072.51,187153020.0,2757062246.84,2.63
218,1634862,2018-01-02,801231,综合,2769.75,2821.16,2740.17,2783.1,450782095.0,3686019216.4,0.59
219,1634863,2018-01-02,850728,楼宇设备,19573.83,19877.91,19338.19,19759.77,61490000.0,1793980000.0,2.6
220,1634864,2018-01-02,850729,环保设备,17932.05,18304.13,17675.17,17902.83,37520000.0,603690000.0,0.07
221,1634865,2018-01-02,850722,建筑机械,7589.46,7880.99,7564.77,7753.15,645087351.0,4477367697.22,2.6
222,1634866,2018-01-02,850723,农用机械,2069.29,2104.15,2040.81,2076.92,22027261.0,221069965.8,0.99
223,1634867,2018-01-02,851235,葡萄酒,3209.32,3262.04,3171.4,3233.47,5590096.0,137074797.62,0.55
224,1634868,2018-01-02,850721,纺织服装设备,2586.16,2626.14,2569.89,2617.41,13815279.0,126242560.23,1.16
225,1634869,2018-01-02,851233,其他酒类,1868.76,1890.58,1845.75,1881.44,7844465.0,86335767.22,1.13
226,1634870,2018-01-02,850727,其它专用机械,10364.81,10495.86,10150.77,10319.55,227482787.0,3933665322.35,0.74
227,1634871,2018-01-02,850724,重型机械,2438.89,2484.13,2424.26,2452.46,81884121.0,462799280.13,1.17
228,1634872,2018-01-02,850725,冶金矿采设备,1543.1,1570.38,1531.89,1558.4,124237870.0,1118010602.1,1.29
229,1634873,2018-01-02,851411,造纸,2867.95,2941.37,2836.9,2910.27,276332330.0,2344322210.03,1.99
230,1634874,2018-01-02,857231,城轨建设,2457.92,2524.53,2443.97,2505.53,24400000.0,195390000.0,1.91
231,1634875,2018-01-02,857233,水利工程,2724.27,2793.18,2719.77,2784.84,93840000.0,717120000.0,2.33
232,1634876,2018-01-02,851641,环保,2476.7,2518.82,2430.02,2472.51,288820814.0,4780845914.05,1.12
233,1634877,2018-01-02,857235,其他基础建设,2210.89,2243.22,2190.81,2228.12,34000000.0,386820000.0,0.45
234,1634878,2018-01-02,857234,铁路建设,3826.72,3910.34,3826.72,3892.62,82200000.0,870080000.0,1.96
235,1634879,2018-01-02,851721,公交,2427.28,2449.22,2404.59,2436.03,17882271.0,122457238.0,0.58
236,1634880,2018-01-02,850222,焦炭加工,2639.07,2720.61,2625.08,2695.62,201101290.0,1875459231.8,2.34
237,1634881,2018-01-02,850221,煤炭开采,3348.39,3465.14,3328.08,3447.99,973188959.0,9157710470.11,3.42
